loiczid,year,wdpa_yr_km2
8921,1974,17.194814960864598
8922,1974,56.16972887215769
8923,1974,84.82775380693202
8924,1974,98.5836057756237
8925,1974,106.6078527573605
8926,1974,131.82691469996192
8927,1974,104.31521076257856
8928,1974,90.55935879388689
8929,1974,107.75417375475149
8930,1974,108.90049475214246
8931,1974,93.9983217860598
8932,1974,128.387951707789
8933,1974,97.43728477823272
8934,1974,85.974074804323
8935,1974,81.3887908147591
8936,1974,105.46153175996953
8937,1974,103.16888976518759
8938,1974,132.9732356973529
8939,1974,123.80266771822511
8940,1974,102.02256876779661
8941,1974,107.75417375475149
8942,1974,140.9974826790897
8943,1974,126.09530971300705
8944,1974,123.80266771822511
8945,1974,104.31521076257856
8946,1974,87.12039580171397
8947,1974,59.60869186433061
8948,1974,21.780098950428492
9623,1974,3.43896299217292
9624,1974,32.09698792694725
9625,1974,79.09614881997716
9626,1974,123.80266771822511
9627,1974,139.85116168169873
9628,1974,129.53427270517997
9629,1974,169.65550761386405
9630,1974,168.50918661647307
9631,1974,139.85116168169873
9632,1974,139.85116168169873
9633,1974,131.82691469996192
9634,1974,112.33945774431538
9635,1974,82.53511181215008
9636,1974,114.63209973909733
9637,1974,212.06938451733004
9638,1974,231.5568414729766
9639,1974,280.84864436078846
9640,1974,241.87373044949535
9641,1974,264.80015039731484
9642,1974,327.84780525381836
9643,1974,243.02005144688633
9644,1974,159.3386186373453
9645,1974,83.68143280954105
9646,1974,60.75501286172158
9647,1974,45.85283989563893
9648,1974,2.2926419947819463
9652,1974,1.1463209973909732
9653,1974,9.170567979127785
9654,1974,28.658024934774332
9655,1974,61.901333859112555
9656,1974,71.07190183824034
9657,1974,69.92558084084936
9658,1974,69.92558084084936
9659,1974,60.75501286172158
9660,1974,58.46237086693964
9661,1974,37.828592913902114
9662,1974,57.316049869548664
9663,1974,90.55935879388689
9664,1974,127.24163071039803
9665,1974,80.24246981736813
9666,1974,114.63209973909733
9667,1974,169.65550761386405
9668,1974,204.04513753559323
9669,1974,286.5802493477433
9670,1974,261.3611874051419
9671,1974,334.7257312381642
9672,1974,278.5560023660065
9673,1974,224.67891548863076
9674,1974,158.19229763995432
9675,1974,90.55935879388689
9676,1974,28.658024934774332
10332,1974,18.34113595825557
10333,1974,65.34029685128547
10334,1974,111.19313674692441
10335,1974,157.04597664256335
10336,1974,201.75249554081128
10337,1974,247.60533543645022
10338,1974,285.43392835035235
10339,1974,309.5066692955628
10340,1974,335.87205223555515
10341,1974,402.3586700842316
10342,1974,486.04010289377266
10343,1974,457.3820779589983
10344,1974,387.45649711814895
10345,1974,427.577732026833
10346,1974,351.92054619902876
10347,1974,254.48326142079605
