run_id,run_tag,run_date,sequence,parent_fn,parent_chunk,file_loc,filetype,commit_url,commit_author,commit_date,uncommitted_changes,elapsed_time,memory_use,sys_info,ses_info,base_pkgs,attached_pkgs,rdf_subject,rdf_object,rdf_predicate,run_hash
1,standard run,Sat Jun  2 19:10:34 2018,1,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,get_spp_info_from_api,~/git-annex/spp_health_dists/iucn/spp_info_from_api_2017-3.csv,output,no version control info found,NA,NA,NA,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#get_spp_info_from_api,~/git-annex/spp_health_dists/iucn/spp_info_from_api_2017-3.csv,prov:wasGeneratedBy,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,2,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,determine_spp_habs,~/git-annex/spp_health_dists/iucn/spp_habs_from_api_2017-3.csv,output,no version control info found,NA,NA,NA,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#determine_spp_habs,~/git-annex/spp_health_dists/iucn/spp_habs_from_api_2017-3.csv,prov:wasGeneratedBy,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,3,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,generate_hab_inclusion_list,~/git-annex/spp_health_dists/iucn/spp_habs_from_api_2017-3.csv,input,no version control info found,NA,NA,NA,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/git-annex/spp_health_dists/iucn/spp_habs_from_api_2017-3.csv,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#generate_hab_inclusion_list,prov:used,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,4,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,generate_hab_inclusion_list,~/github/spp_health_dists/data_setup/int/iucn_habitat_categories.csv,output,Previous commit: https://github.com/oharac/spp_health_dists/commit/4420de079611b71683fd8379a15699b2738b7765,Casey O'Hara <ohara@nceas.ucsb.edu>,  Mon May 28 13:02:42 2018 -0700,TRUE,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#generate_hab_inclusion_list,~/github/spp_health_dists/data_setup/int/iucn_habitat_categories.csv,prov:wasGeneratedBy,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,5,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,determine_marine_spp_from_api,~/git-annex/spp_health_dists/iucn/spp_habs_from_api_2017-3.csv,input,no version control info found,NA,NA,NA,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/git-annex/spp_health_dists/iucn/spp_habs_from_api_2017-3.csv,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#determine_marine_spp_from_api,prov:used,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,6,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,determine_marine_spp_from_api,~/github/spp_health_dists/data_setup/int/iucn_habitat_categories.csv,input,https://github.com/oharac/spp_health_dists/commit/4420de079611b71683fd8379a15699b2738b7765,Casey O'Hara <ohara@nceas.ucsb.edu>,  Mon May 28 13:02:42 2018 -0700,TRUE,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/github/spp_health_dists/data_setup/int/iucn_habitat_categories.csv,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#determine_marine_spp_from_api,prov:used,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,7,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,determine_marine_spp_from_api,~/git-annex/spp_health_dists/iucn/spp_info_from_api_2017-3.csv,input,no version control info found,NA,NA,NA,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/git-annex/spp_health_dists/iucn/spp_info_from_api_2017-3.csv,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#determine_marine_spp_from_api,prov:used,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,8,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,determine_marine_spp_from_api,~/github/spp_health_dists/data_setup/int/spp_marine_marginal_2017-3.csv,output,no version control info found,NA,NA,NA,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#determine_marine_spp_from_api,~/github/spp_health_dists/data_setup/int/spp_marine_marginal_2017-3.csv,prov:wasGeneratedBy,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,9,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,determine_marine_spp_from_api,~/github/spp_health_dists/data/iucn/spp_marine_from_api_2017-3.csv,output,Previous commit: https://github.com/oharac/spp_health_dists/commit/4420de079611b71683fd8379a15699b2738b7765,Casey O'Hara <ohara@nceas.ucsb.edu>,  Mon May 28 13:02:42 2018 -0700,TRUE,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#determine_marine_spp_from_api,~/github/spp_health_dists/data/iucn/spp_marine_from_api_2017-3.csv,prov:wasGeneratedBy,3eadb7620c1e6c13be2c09b30de6a626be66ca81
1,standard run,Sat Jun  2 19:10:34 2018,10,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd,get_iucn_past_assessments,~/git-annex/spp_health_dists/iucn/spp_info_from_api_2017-3.csv,input,no version control info found,NA,NA,NA,13.349,2889.9,"System: Linux, Release: 4.4.0-112-generic. Machine: x86_64. User: ohara.","R version: R version 3.4.4 (2018-03-15), Platform: x86_64-pc-linux-gnu, Running under: Ubuntu 14.04.5 LTS.","Attached base packages: parallel, stats, graphics, grDevices, utils, datasets, methods, base","Other attached packages: bindrcpp_0.2, jsonlite_1.5, provRmd_0.1.1, stringr_1.2.0, RColorBrewer_1.1-2, dplyr_0.7.2, purrr_0.2.3, readr_1.1.0, tidyr_0.7.0, tibble_1.3.4, ggplot2_2.2.1.9000, tidyverse_1.1.1",~/git-annex/spp_health_dists/iucn/spp_info_from_api_2017-3.csv,~/github/spp_health_dists/data_setup/1_set_up_iucn_risk.Rmd#get_iucn_past_assessments,prov:used,3eadb7620c1e6c13be2c09b30de6a626be66ca81
